Virender Sehwag 
Sachin Tendulkar 
Gautam Gambhir 
Yusuf Pathan 
Tamim Iqbal 
Imrul Kayes 
Zunaed Siddique 
Shakib Al Hasan (c)
Mushfiqur Rahim †
Mahmudullah 
Naeem Islam 
Abdur Razzak 
Shafiul Islam 
Alex Obanda 
Seren Waters 
Collins Obuya 
Steve Tikolo 
Morris Ouma †
Jimmy Kamande (c)
Thomas Odoyo 
Nehemiah Odhiambo 
Shem Ngoche 
Elijah Otieno 
Upul Tharanga 
Tillakaratne Dilshan 
Kumar Sangakkara (c)†
Mahela Jayawardene 
Thisara Perera 
Angelo Mathews 
Chamara Kapugedera 
Ruvindu Gunasekera 
John Davison 
Zubin Surkari 
Jimmy Hansra 
Ashish Bagai (c)†
Rizwan Cheema 
Tyson Gordon 
Khurram Chohan 
Balaji Rao 
Henry Osinde 
Shane Watson 
Brad Haddin †
Ricky Ponting (c)
Cameron White 
David Hussey 
Steven Smith 
Brendan Taylor 
Charles Coventry 
Tatenda Taibu †
Craig Ervine 
Elton Chigumbura (c)
Sean Williams 
Regis Chakabva 
Prosper Utseya 
Graeme Cremer 
Chris Mpofu 
Alexei Kervezee 
Wesley Barresi †
Tom Cooper 
Ryan ten Doeschate 
Bas Zuiderent 
Tom de Grooth 
Andrew Strauss (c)
Kevin Pietersen 
Jonathan Trott 
Ian Bell 
Mohammad Hafeez 
Ahmed Shehzad 
Kamran Akmal †
Younis Khan 
Misbah-ul-Haq 
Umar Akmal 
Shahid Afridi (c)
Morris Ouma †
Seren Waters 
Collins Obuya 
Steve Tikolo 
Tanmay Mishra 
Rakep Patel 
Jimmy Kamande (c)
Thomas Odoyo 
Nehemiah Odhiambo 
Shem Ngoche 
Chris Gayle 
Devon Smith 
Darren Bravo 
Ramnaresh Sarwan 
Shivnarine Chanderpaul 
Dwayne Bravo 
Devon Thomas †
Kieron Pollard 
Daren Sammy (c)
Sulieman Benn 
Hashim Amla 
Graeme Smith (c)
Jacques Kallis 
Martin Guptill 
Brendon McCullum †
Jesse Ryder 
Ross Taylor 
James Franklin 
Scott Styris 
Jamie How 
Nathan McCullum 
Daniel Vettori (c)
Tim Southee 
Shane Watson 
Brad Haddin †
Ricky Ponting (c)
Tamim Iqbal 
Imrul Kayes 
Zunaed Siddique 
Mushfiqur Rahim †
Shakib Al Hasan (c)
Raqibul Hasan 
Mohammad Ashraful 
Naeem Islam 
Shafiul Islam 
Abdur Razzak 
William Porterfield (c)
Paul Stirling 
Ed Joyce 
Niall O'Brien †
Andrew White 
Kevin O'Brien 
Andre Botha 
John Mooney 
Trent Johnston 
Boyd Rankin 
Ahmed Shehzad 
Mohammad Hafeez 
Kamran Akmal †
Younis Khan 
Umar Akmal 
Shahid Afridi (c)
Abdul Razzaq 
Upul Tharanga 
Tillakaratne Dilshan 
