Name,Runs,Balls,Minutes Played,Fours,Sixes,Strike Rate
Virender Sehwag ,175,140,198,14,5,125.00
Sachin Tendulkar ,28,29,46,4,0,96.55
Gautam Gambhir ,39,39,49,3,0,100.00
Virat Kohli ,100,83,113,8,2,120.48
Yusuf Pathan ,8,10,10,0,0,80.00
Tamim Iqbal ,70,86,136,3,1,81.39
Imrul Kayes ,34,29,33,7,0,117.24
Zunaed Siddique ,37,52,66,1,1,71.15
Shakib Al Hasan (c),55,50,65,5,0,110.00
Mushfiqur Rahim †,25,30,39,2,0,83.33
Raqibul Hasan ,28,28,44,0,1,100.00
Mahmudullah ,6,6,6,0,0,100.00
Naeem Islam ,2,8,8,0,0,25.00
Abdur Razzak ,1,5,6,0,0,20.00
Shafiul Islam ,0,1,1,0,0,0.00
Rubel Hossain ,1,6,4,0,0,16.66
Alex Obanda ,6,19,27,0,0,31.57
Seren Waters ,16,42,49,1,0,38.09
Collins Obuya ,14,19,32,2,0,73.68
Steve Tikolo ,2,2,4,0,0,100.00
Morris Ouma †,1,6,12,0,0,16.66
Rakep Patel ,16,23,46,1,0,69.56
Jimmy Kamande (c),2,16,19,0,0,12.50
Thomas Odoyo ,2,6,6,0,0,33.33
Nehemiah Odhiambo ,0,6,6,0,0,0.00
Shem Ngoche ,0,1,1,0,0,0.00
Elijah Otieno ,0,4,4,0,0,0.00
Martin Guptill ,39,32,37,5,2,121.87
Brendon McCullum †,26,17,37,4,0,152.94
Upul Tharanga ,19,31,56,1,0,61.29
Tillakaratne Dilshan ,50,59,86,8,0,84.74
Kumar Sangakkara (c)†,92,87,134,7,1,105.74
Mahela Jayawardene ,100,81,115,9,1,123.45
Thisara Perera ,11,11,17,1,0,100.00
Angelo Mathews ,21,16,25,3,0,131.25
Chamara Kapugedera ,2,3,5,0,0,66.66
Thilan Samaraweera ,18,10,9,3,0,180.00
Nuwan Kulasekara ,7,3,7,1,0,233.33
Ruvindu Gunasekera ,1,10,12,0,0,10.00
John Davison ,0,1,4,0,0,0.00
Zubin Surkari ,6,10,12,0,0,60.00
Jimmy Hansra ,9,49,46,0,0,18.36
Ashish Bagai (c)†,22,47,58,2,0,46.80
Rizwan Cheema ,37,35,65,4,2,105.71
Tyson Gordon ,4,10,16,0,0,40.00
Khurram Chohan ,4,8,11,1,0,50.00
Harvir Baidwan ,16,35,43,1,0,45.71
Balaji Rao ,6,7,7,1,0,85.71
Henry Osinde ,4,10,14,0,0,40.00
Shane Watson ,79,92,113,8,1,85.86
Brad Haddin †,29,66,68,3,0,43.93
Ricky Ponting (c),28,36,50,0,0,77.77
Michael Clarke ,58,55,77,4,0,105.45
Cameron White ,22,36,44,0,0,61.11
David Hussey ,14,8,15,1,1,175.00
Steven Smith ,11,4,4,1,1,275.00
Mitchell Johnson ,7,3,5,1,0,233.33
Brendan Taylor ,16,24,53,1,0,66.66
Charles Coventry ,14,24,24,1,1,58.33
Tatenda Taibu †,7,17,23,1,0,41.17
Craig Ervine ,0,6,13,0,0,0.00
Elton Chigumbura (c),14,25,44,2,0,56.00
Sean Williams ,28,40,40,1,1,70.00
Regis Chakabva ,6,18,21,0,0,33.33
Prosper Utseya ,24,45,52,1,0,53.33
Graeme Cremer ,37,51,51,4,0,72.54
Ray Price ,5,19,25,0,0,26.31
Chris Mpofu ,2,11,12,0,0,18.18
Alexei Kervezee ,16,25,25,2,0,64.00
Wesley Barresi †,29,25,49,6,0,116.00
Tom Cooper ,47,73,84,3,0,64.38
Ryan ten Doeschate ,119,110,160,9,3,108.18
Bas Zuiderent ,1,10,19,0,0,10.00
Tom de Grooth ,28,31,47,3,0,90.32
Peter Borren (c),35,24,41,4,0,145.83
Mudassar Bukhari ,6,5,11,0,0,120.00
Andrew Strauss (c),88,83,113,9,0,106.02
Kevin Pietersen ,39,61,70,5,0,63.93
Jonathan Trott ,62,65,91,4,0,95.38
Ian Bell ,33,40,61,1,0,82.50
Paul Collingwood ,30,23,40,3,0,130.43
Ravi Bopara ,30,20,27,2,1,150.00
Mohammad Hafeez ,9,20,24,1,0,45.00
Ahmed Shehzad ,1,18,32,0,0,5.55
Kamran Akmal †,55,67,84,5,0,82.08
Younis Khan ,50,67,112,2,0,74.62
Misbah-ul-Haq ,65,69,92,1,2,94.20
Umar Akmal ,71,52,66,8,1,136.53
Shahid Afridi (c),7,4,12,1,0,175.00
Abdul Razzaq ,8,6,13,1,0,133.33
Abdur Rehman ,5,3,10,0,0,166.66
Morris Ouma †,16,37,55,1,0,43.24
Seren Waters ,17,31,38,2,0,54.83
Collins Obuya ,47,58,89,3,3,81.03
Steve Tikolo ,13,33,37,1,0,39.39
Tanmay Mishra ,6,16,11,1,0,37.50
Rakep Patel ,0,6,4,0,0,0.00
Jimmy Kamande (c),2,3,3,0,0,66.66
Thomas Odoyo ,0,8,8,0,0,0.00
Nehemiah Odhiambo ,0,6,8,0,0,0.00
Shem Ngoche ,0,1,8,0,0,0.00
Elijah Otieno ,0,1,3,0,0,0.00
Chris Gayle ,2,3,3,0,0,66.66
Devon Smith ,36,57,103,3,0,63.15
Darren Bravo ,73,82,96,8,1,89.02
Ramnaresh Sarwan ,2,10,15,0,0,20.00
Shivnarine Chanderpaul ,31,51,73,1,1,60.78
Dwayne Bravo ,40,37,46,1,3,108.10
Devon Thomas †,15,26,29,1,0,57.69
Kieron Pollard ,0,1,6,0,0,0.00
Daren Sammy (c),0,4,7,0,0,0.00
Sulieman Benn ,6,8,14,1,0,75.00
Kemar Roach ,2,6,12,0,0,33.33
Hashim Amla ,14,15,14,2,0,93.33
Graeme Smith (c),45,78,116,2,0,57.69
Jacques Kallis ,4,7,5,0,0,57.14
AB de Villiers †,107,105,149,8,2,101.90
Jean-Paul Duminy ,42,53,54,1,0,79.24
Martin Guptill ,10,25,45,2,0,40.00
Brendon McCullum †,16,12,19,3,0,133.33
Jesse Ryder ,25,31,49,6,0,80.64
Ross Taylor ,7,22,45,1,0,31.81
James Franklin ,0,3,2,0,0,0.00
Scott Styris ,0,4,4,0,0,0.00
Jamie How ,22,47,60,1,0,46.80
Nathan McCullum ,52,76,94,3,0,68.42
Daniel Vettori (c),44,43,62,5,0,102.32
Tim Southee ,6,10,20,0,0,60.00
Hamish Bennett ,0,0,1,0,0,-
Shane Watson ,62,61,87,6,1,101.63
Brad Haddin †,55,50,84,8,0,110.00
Ricky Ponting (c),12,28,39,1,0,42.85
Michael Clarke ,24,37,77,4,0,64.86
Cameron White ,22,28,39,3,0,78.57
Tamim Iqbal ,44,43,52,7,0,102.32
Imrul Kayes ,12,12,29,2,0,100.00
Zunaed Siddique ,3,8,9,0,0,37.50
Mushfiqur Rahim †,36,66,95,2,0,54.54
Shakib Al Hasan (c),16,20,17,3,0,80.00
Raqibul Hasan ,38,69,87,1,0,55.07
Mohammad Ashraful ,1,6,9,0,0,16.66
Naeem Islam ,29,38,64,3,0,76.31
Shafiul Islam ,2,17,14,0,0,11.76
Abdur Razzak ,11,16,28,0,0,68.75
Rubel Hossain ,2,2,7,0,0,100.00
William Porterfield (c),20,30,31,2,0,66.66
Paul Stirling ,9,10,18,1,0,90.00
Ed Joyce ,16,35,45,0,0,45.71
Niall O'Brien †,38,52,64,3,0,73.07
Andrew White ,10,27,20,1,0,37.03
Kevin O'Brien ,37,40,46,3,1,92.50
Andre Botha ,22,36,55,2,0,61.11
John Mooney ,0,8,16,0,0,0.00
Trent Johnston ,6,6,10,1,0,100.00
George Dockrell ,4,12,21,0,0,33.33
Boyd Rankin ,3,13,12,0,0,23.07
Ahmed Shehzad ,13,23,24,2,0,56.52
Mohammad Hafeez ,32,31,63,4,1,103.22
Kamran Akmal †,39,48,68,5,0,81.25
Younis Khan ,72,76,108,4,0,94.73
Misbah-ul-Haq ,83,91,118,6,0,91.20
Umar Akmal ,10,15,21,1,0,66.66
Shahid Afridi (c),16,12,18,3,0,133.33
Abdul Razzaq ,3,4,6,0,0,75.00
Upul Tharanga ,33,43,64,6,0,76.74
Tillakaratne Dilshan ,41,55,81,5,0,74.54
Kumar Sangakkara (c)†,49,61,109,2,1,80.32
Mahela Jayawardene ,2,10,12,0,0,20.00
Thilan Samaraweera ,1,4,6,0,0,25.00
Chamara Silva ,57,78,115,5,0,73.07
Angelo Mathews ,18,20,24,2,0,90.00
Thisara Perera ,8,6,14,1,0,133.33
Nuwan Kulasekara ,24,14,21,2,1,171.42
Rangana Herath ,4,10,20,0,0,40.00
Muthiah Muralidaran ,0,1,1,0,0,0.00
Virender Sehwag ,35,26,34,6,0,134.61
Sachin Tendulkar ,120,115,170,10,5,104.34
Gautam Gambhir ,51,61,95,5,0,83.60
Yuvraj Singh ,58,50,76,9,0,116.00
MS Dhoni (c)†,31,25,38,3,1,124.00
Yusuf Pathan ,14,8,12,1,1,175.00
Virat Kohli ,8,5,12,1,0,160.00
Harbhajan Singh ,0,1,4,0,0,0.00
Zaheer Khan ,4,5,10,0,0,80.00
Piyush Chawla ,2,4,5,0,0,50.00
Munaf Patel ,0,0,1,0,0,-
Andrew Strauss (c),158,145,188,18,1,108.96
Kevin Pietersen ,31,22,45,5,0,140.90
Jonathan Trott ,16,19,30,1,0,84.21
Ian Bell ,69,71,108,4,1,97.18
Paul Collingwood ,1,5,12,0,0,20.00
Matt Prior †,4,8,15,0,0,50.00
Michael Yardy ,13,10,17,1,0,130.00
Tim Bresnan ,14,9,18,0,1,155.55
Graeme Swann ,15,9,12,0,1,166.66
Ajmal Shahzad ,6,2,5,0,1,300.00
Brendan Taylor ,0,1,1,0,0,0.00
Charles Coventry ,4,10,16,0,0,40.00
Tatenda Taibu †,98,99,147,9,0,98.98
Craig Ervine ,85,81,114,6,2,104.93
Elton Chigumbura (c),5,8,6,1,0,62.50
Sean Williams ,30,25,34,3,0,120.00
Greg Lamb ,11,13,12,1,0,84.61
Prosper Utseya ,22,29,40,2,0,75.86
Graeme Cremer ,26,23,31,2,0,113.04
Ray Price ,10,6,14,2,0,166.66
Chris Mpofu ,3,5,9,0,0,60.00
John Davison ,0,8,5,0,0,0.00
Nitish Kumar ,1,10,22,0,0,10.00
Ruvindu Gunasekera ,24,64,76,2,0,37.50
Ashish Bagai (c)†,0,1,1,0,0,0.00
Jimmy Hansra ,20,41,53,1,1,48.78
Rizwan Cheema ,14,10,9,2,1,140.00
Zubin Surkari ,26,48,70,2,0,54.16
Tyson Gordon ,7,20,13,1,0,35.00
Khurram Chohan ,8,22,22,1,0,36.36
Harvir Baidwan ,13,23,29,1,0,56.52
Balaji Rao ,1,6,3,0,0,16.66
Devon Smith ,53,51,67,9,0,103.92
Chris Gayle ,80,110,136,7,2,72.72
Darren Bravo ,30,38,42,1,2,78.94
Ramnaresh Sarwan ,49,42,55,7,1,116.66
Kieron Pollard ,60,27,59,5,4,222.22
Daren Sammy (c),6,6,6,1,0,100.00
Shivnarine Chanderpaul ,4,6,9,0,0,66.66
Devon Thomas †,13,13,24,1,0,100.00
Nikita Miller ,11,7,13,2,0,157.14
Sulieman Benn ,3,1,1,0,0,300.00
Alexei Kervezee ,14,20,20,2,0,70.00
Wesley Barresi †,0,5,4,0,0,0.00
Tom Cooper ,55,72,114,9,0,76.38
Ryan ten Doeschate ,7,6,7,1,0,116.66
Bas Zuiderent ,1,4,5,0,0,25.00
Tom de Grooth ,1,5,6,0,0,20.00
Peter Borren (c),10,28,25,1,0,35.71
Mudassar Bukhari ,24,42,35,2,0,57.14
Pieter Seelaar ,1,5,8,0,0,20.00
Bernard Loots ,0,1,1,0,0,0.00
Berend Westdijk ,0,1,1,0,0,0.00
Morris Ouma †,1,7,7,0,0,14.28
Seren Waters ,3,4,12,0,0,75.00
Collins Obuya ,52,100,121,4,0,52.00
David Obuya ,51,106,158,3,0,48.11
Steve Tikolo ,7,17,20,1,0,41.17
Tanmay Mishra ,0,13,28,0,0,0.00
Jimmy Kamande (c),1,3,4,0,0,33.33
Nehemiah Odhiambo ,8,10,15,2,0,80.00
Peter Ongondo ,0,1,3,0,0,0.00
Shem Ngoche ,0,1,1,0,0,0.00
Elijah Otieno ,0,2,2,0,0,0.00
Upul Tharanga ,67,59,92,12,0,113.55
Tillakaratne Dilshan ,44,30,41,8,0,146.66
Kumar Sangakkara (c)†,27,24,48,3,0,112.50
Andrew Strauss (c),34,37,61,2,1,91.89
Kevin Pietersen ,59,50,77,7,2,118.00
Jonathan Trott ,92,92,126,9,0,100.00
Ian Bell ,81,86,102,6,1,94.18
Paul Collingwood ,16,11,21,0,1,145.45
Matt Prior †,6,5,7,1,0,120.00
Tim Bresnan ,4,8,23,0,0,50.00
Michael Yardy ,3,6,8,0,0,50.00
Graeme Swann ,9,5,8,1,0,180.00
William Porterfield (c),0,1,1,0,0,0.00
Paul Stirling ,32,28,45,5,1,114.28
Ed Joyce ,32,61,90,3,0,52.45
Niall O'Brien †,29,36,37,2,1,80.55
Gary Wilson ,3,14,17,0,0,21.42
Kevin O'Brien ,113,63,123,13,6,179.36
Alex Cusack ,47,58,80,3,1,81.03
John Mooney ,33,30,40,6,0,110.00
Trent Johnston ,7,4,6,1,0,175.00
Hashim Amla ,113,130,191,8,0,86.92
Graeme Smith (c),20,32,57,1,0,62.50
Jacques Kallis ,2,12,10,0,0,16.66
AB de Villiers †,134,98,126,13,4,136.73
Faf du Plessis ,18,14,27,1,0,128.57
Jean-Paul Duminy ,40,15,18,2,4,266.66
Morne van Wyk ,0,0,1,0,0,-
Alexei Kervezee ,10,18,23,1,0,55.55
Wesley Barresi †,44,66,98,5,0,66.66
Tom Cooper ,9,21,26,1,0,42.85
Bas Zuiderent ,15,26,38,1,1,57.69
Ryan ten Doeschate ,11,21,23,0,0,52.38
Tom de Grooth ,12,26,35,0,0,46.15
Peter Borren (c),3,13,14,0,0,23.07
Mudassar Bukhari ,0,4,5,0,0,0.00
Pieter Seelaar ,2,5,15,0,0,40.00
Bernard Loots ,6,7,8,0,1,85.71
Berend Westdijk ,0,2,2,0,0,0.00
Mohammad Hafeez ,11,12,16,2,0,91.66
Ahmed Shehzad ,12,23,48,2,0,52.17
Kamran Akmal †,16,38,66,2,0,42.10
Younis Khan ,6,13,17,1,0,46.15
Misbah-ul-Haq ,37,68,104,1,0,54.41
Umar Akmal ,48,68,77,4,1,70.58
Shahid Afridi (c),20,17,21,2,0,117.64
Abdul Razzaq ,8,8,12,1,0,100.00
Umar Gul ,2,4,12,0,0,50.00
Wahab Riaz ,0,3,1,0,0,0.00
Saeed Ajmal ,0,5,6,0,0,0.00
Ruvindu Gunasekera ,8,16,20,0,0,50.00
Nitish Kumar ,2,13,25,0,0,15.38
Zubin Surkari ,27,67,117,2,0,40.29
Ashish Bagai (c)†,16,35,52,2,0,45.71
Jimmy Hansra ,43,75,70,4,1,57.33
Rizwan Cheema ,4,8,5,1,0,50.00
Tyson Gordon ,9,12,17,1,0,75.00
Harvir Baidwan ,0,1,1,0,0,0.00
Khurram Chohan ,5,20,31,0,0,25.00
Balaji Rao ,1,7,14,0,0,14.28
Henry Osinde ,0,3,5,0,0,0.00
Brendan Taylor ,44,57,106,4,0,77.19
Charles Coventry ,0,2,7,0,0,0.00
Tatenda Taibu †,8,18,28,1,0,44.44
Craig Ervine ,11,25,25,2,0,44.00
Elton Chigumbura (c),1,4,9,0,0,25.00
Regis Chakabva ,0,2,3,0,0,0.00
Greg Lamb ,18,34,46,1,0,52.94
Prosper Utseya ,36,65,95,3,0,55.38
Graeme Cremer ,22,43,43,1,0,51.16
Ray Price ,11,19,27,0,0,57.89
Tinashe Panyangara ,4,9,13,1,0,44.44
Martin Guptill ,86,108,114,7,2,79.62
Brendon McCullum †,76,95,114,6,2,80.00
Tamim Iqbal ,0,3,2,0,0,0.00
Imrul Kayes ,5,8,15,0,0,62.50
Zunaed Siddique ,25,27,33,4,0,92.59
Mushfiqur Rahim †,0,4,6,0,0,0.00
Shakib Al Hasan (c),8,16,23,1,0,50.00
Raqibul Hasan ,4,17,23,0,0,23.52
Mohammad Ashraful ,11,21,33,2,0,52.38
Naeem Islam ,1,4,14,0,0,25.00
Shafiul Islam ,0,6,12,0,0,0.00
Abdur Razzak ,2,6,9,0,0,33.33
Rubel Hossain ,0,2,2,0,0,0.00
Devon Smith ,6,12,23,1,0,50.00
Chris Gayle ,37,36,44,6,0,102.77
Darren Bravo ,9,26,20,1,0,34.61
Upul Tharanga ,6,18,32,0,0,33.33
Tillakaratne Dilshan ,4,4,7,1,0,100.00
Kumar Sangakkara (c)†,73,102,147,7,0,71.56
Mahela Jayawardene ,23,25,47,3,0,92.00
Thilan Samaraweera ,34,48,74,2,0,70.83
Andrew Strauss (c),0,3,1,0,0,0.00
Kevin Pietersen ,2,3,5,0,0,66.66
Jonathan Trott ,52,94,123,3,0,55.31
Ian Bell ,5,7,14,1,0,71.42
Ravi Bopara ,60,98,149,3,1,61.22
Matt Prior †,10,19,24,1,0,52.63
Michael Yardy ,3,17,40,0,0,17.64
Tim Bresnan ,1,4,5,0,0,25.00
Graeme Swann ,16,20,28,3,0,80.00
Stuart Broad ,0,3,2,0,0,0.00
James Anderson ,2,6,10,0,0,33.33
Hashim Amla ,42,51,81,2,0,82.35
Graeme Smith (c),22,41,63,2,0,53.65
Jacques Kallis ,15,20,26,3,0,75.00
AB de Villiers ,25,44,56,0,0,56.81
Faf du Plessis ,17,38,52,2,0,44.73
Jean-Paul Duminy ,0,4,12,0,0,0.00
Morne van Wyk †,13,37,67,0,0,35.13
Robin Peterson ,3,16,15,0,0,18.75
Dale Steyn ,20,31,51,3,0,64.51
Morne Morkel ,1,3,10,0,0,33.33
Imran Tahir ,1,1,2,0,0,100.00
William Porterfield (c),75,104,146,6,1,72.11
Paul Stirling ,0,1,2,0,0,0.00
Ed Joyce ,4,5,8,1,0,80.00
Niall O'Brien †,46,78,93,3,0,58.97
Andrew White ,5,10,8,0,0,50.00
Kevin O'Brien ,9,13,14,1,0,69.23
Alex Cusack ,24,30,49,3,0,80.00
John Mooney ,5,17,19,0,0,29.41
Trent Johnston ,17,20,38,2,0,85.00
George Dockrell ,3,10,19,0,0,30.00
