Name,Overs,Maidens,Runs Given,Wickets Taken,Economy Rate,Dot Balls,Fours hitten,Sixes hitten,Wide Deliveries,No Balls
Shafiul Islam,7,0,69,1,9.85,15,8,1,2,1
Shakib Al Hasan,10,0,61,1,6.10,23,4,1,3,0
Mahmudullah,7,0,49,1,7.00,15,3,1,3,0
Zaheer Khan,10,0,40,2,4.00,35,2,0,4,0
Munaf Patel,10,0,48,4,4.80,37,3,2,0,0
Harbhajan Singh,10,0,41,1,4.10,26,1,0,1,0
Yusuf Pathan,8,0,49,1,6.12,12,3,0,2,0
Tim Southee,6,0,13,3,2.16,27,1,0,0,1
Hamish Bennett,5,0,16,4,3.20,17,0,0,1,0
Jacob Oram,2.5,1,2,3,0.70,15,0,0,0,0
Harvir Baidwan,8.5,0,59,2,6.67,25,8,0,2,0
Rizwan Cheema,7,0,47,1,6.71,15,5,0,0,0
John Davison,8,0,56,2,7.00,10,3,0,2,0
Nuwan Kulasekara,6,2,16,3,2.66,26,2,0,0,0
Thisara Perera,7,0,24,3,3.42,30,3,0,0,0
Ajantha Mendis,7.5,3,18,1,2.29,37,2,0,1,0
Muthiah Muralidaran,9,0,38,2,4.22,37,2,2,3,1
Thilan Samaraweera,2,0,4,1,2.00,8,0,0,0,0
Chris Mpofu,9,0,58,2,6.44,26,8,0,2,0
Ray Price,10,0,43,1,4.30,31,2,1,1,0
Prosper Utseya,10,2,43,1,4.30,31,4,0,2,0
Graeme Cremer,10,0,41,1,4.10,30,0,1,1,0
Shaun Tait,9,1,34,2,3.77,39,4,0,2,1
Brett Lee,8,1,34,1,4.25,34,4,1,1,1
Mitchell Johnson,9.2,2,19,4,2.03,43,1,0,0,0
Jason Krejza,8,0,28,2,3.50,31,1,1,0,0
David Hussey,4,1,12,1,3.00,14,0,0,0,0
Stuart Broad,10,2,65,2,6.50,31,8,0,1,1
Tim Bresnan,10,0,49,1,4.90,31,5,0,1,0
Graeme Swann,10,0,35,2,3.50,37,1,1,0,0
Paul Collingwood,8,0,46,1,5.75,24,5,1,0,0
Mudassar Bukhari,9,0,54,1,6.00,25,7,0,0,0
Pieter Seelaar,10,0,54,1,5.40,22,0,0,2,0
Ryan ten Doeschate,10,0,47,2,4.70,24,1,0,1,0
Thomas Odoyo,7,2,41,3,5.85,31,1,0,5,0
Elijah Otieno,9,1,49,1,5.44,31,4,0,0,2
Shem Ngoche,10,0,46,1,4.60,24,1,0,1,0
Jimmy Kamande,7,0,64,1,9.14,14,5,1,4,0
Steve Tikolo,9,0,44,1,4.88,26,1,1,0,1
Umar Gul,4.1,0,12,2,2.88,19,1,0,1,1
Shahid Afridi,8,3,16,5,2.00,40,2,0,0,0
Mohammad Hafeez,4,1,26,1,6.50,16,2,2,1,0
Johan Botha,9,0,48,2,5.33,28,2,1,3,0
Dale Steyn,7.3,1,24,3,3.20,33,3,0,2,0
Imran Tahir,10,1,41,4,4.10,35,1,2,0,0
