toss_winner,man_of_the_match,match_names
Bangladesh,Virender Sehwag,bangladesh vs india-1st-match-group-b-433558
Kenya,Hamish Bennett,kenya vs new-zealand-2nd-match-group-a-433559
Sri Lanka,Mahela Jayawardene,sri-lanka vs canada-3rd-match-group-a-433560
Australia,Shane Watson,australia vs zimbabwe-4th-match-group-a-433561
Netherlands,Ryan ten Doeschate,england vs netherlands-5th-match-group-b-433562
Pakistan,Umar Akmal,kenya vs pakistan-6th-match-group-a-433563
South Africa,AB de Villiers,south-africa vs west-indies-7th-match-group-b-433564
Australia,Mitchell Johnson,australia vs new-zealand-8th-match-group-a-433565
Bangladesh,Tamim Iqbal,bangladesh vs ireland-9th-match-group-b-433566
Pakistan,Shahid Afridi,sri-lanka vs pakistan-10th-match-group-a-433567
India,Andrew Strauss,india vs england-11th-match-group-b-433568
Zimbabwe,Tatenda Taibu,canada vs zimbabwe-12th-match-group-a-433570
Netherlands,Kemar Roach,netherlands vs west-indies-13th-match-group-b-433569
Kenya,Lasith Malinga,sri-lanka vs kenya-14th-match-group-a-433571
England,Kevin O'Brien,england vs ireland-15th-match-group-b-433572
Netherlands,AB de Villiers,netherlands vs south-africa-16th-match-group-b-433573
Pakistan,Shahid Afridi,canada vs pakistan-17th-match-group-a-433574
Zimbabwe,Martin Guptill,new-zealand vs zimbabwe-18th-match-group-a-433575
Bangladesh,Kemar Roach,bangladesh vs west-indies-19th-match-group-b-433576
Sri Lanka,ODI no. 3119,sri-lanka vs australia-20th-match-group-a-433577
England,Ravi Bopara,england vs south-africa-21st-match-group-b-433579
India,Yuvraj Singh,india vs ireland-22nd-match-group-b-433578
Kenya,Henry Osinde,canada vs kenya-23rd-match-group-a-433580
New Zealand,Ross Taylor,new-zealand vs pakistan-24th-match-group-a-433581
Netherlands,Yuvraj Singh,india vs netherlands-25th-match-group-b-433582
Zimbabwe,Tillakaratne Dilshan,sri-lanka vs zimbabwe-26th-match-group-a-433583
Ireland,Kieron Pollard,ireland vs west-indies-27th-match-group-b-433584
Bangladesh,Imrul Kayes,bangladesh vs england-28th-match-group-b-433585
India,Dale Steyn,india vs south-africa-29th-match-group-b-433586
Canada,Brendon McCullum,canada vs new-zealand-30th-match-group-a-433587
Australia,Collins Obuya,australia vs kenya-31st-match-group-a-433588
Netherlands,Imrul Kayes,bangladesh vs netherlands-32nd-match-group-b-433590
Zimbabwe,Umar Gul,pakistan vs zimbabwe-33rd-match-group-a-433589
Ireland,Jean-Paul Duminy,ireland vs south-africa-34th-match-group-b-433591
Canada,Shane Watson,australia vs canada-35th-match-group-a-433592
England,James Tredwell,england vs west-indies-36th-match-group-b-433593
Ireland,Paul Stirling,ireland vs netherlands-37th-match-group-b-433595
Sri Lanka,Kumar Sangakkara,new-zealand vs sri-lanka-38th-match-group-a-433594
South Africa,Lonwabo Tsotsobe,bangladesh vs south-africa-39th-match-group-b-433597
Australia,Umar Akmal,australia vs pakistan-40th-match-group-a-433596
Zimbabwe,Craig Ervine,kenya vs zimbabwe-41st-match-group-a-433598
India,Yuvraj Singh,india vs west-indies-42nd-match-group-b-433599
West Indies,Mohammad Hafeez,pakistan vs west-indies-1st-quarter-final-433600
Australia,Yuvraj Singh,india vs australia-2nd-quarter-final-433601
New Zealand,Jacob Oram,new-zealand vs south-africa-3rd-quarter-final-433602
England,Tillakaratne Dilshan,sri-lanka vs england-4th-quarter-final-433603
New Zealand,Kumar Sangakkara,sri-lanka vs new-zealand-1st-semi-final-433604
India,Sachin Tendulkar,india vs pakistan-2nd-semi-final-433605
Sri Lanka,MS Dhoni,india vs sri-lanka-final-433606
